D001925	D001927
D001926	D001927
D001926	D003128
D001926	D003643
D001927	D002493
D001928	D001927
D001928	D008659
D001929	D001927
D001930	D001927
D001930	D006259
D001930	D006259
D001932	D016543
D001932	D001927
D001932	D016543
D001933	D001921
D001934	D004628
D001935	D003560
D001940	D001829
D001941	D012871
D001943	D009371
D001943	D001941
D001946	D007744
D001948	D018225
D001948	D018225
D001948	D010051
D001948	D010051
D001948	D010051
D001956	D008022
D001956	D000290
D001956	D008022
D001980	D008168
D001981	D001158
D001982	D012140
D001983	D001982
D001983	D016156
D001983	D016156
D001984	D008175
D001984	D001982
D001984	D008175
D001986	D001982
D001987	D001982
D001988	D001991
D001988	D001991
D001988	D001991
D001989	D001988
D001989	D001988
D001990	D014777
D001990	D001988
D001990	D001988
D001990	D001988
D001991	D001982
D001991	D008173
D001991	D012141
D001994	D003560
D001994	D001982
D001994	D015619
D001994	D015619
D001996	D001982
D001996	D011014
D001996	D011014
D001997	D055397
D001997	D007235
D001998	D015619
D001998	D015619
D002001	D000273
D002006	D016905
D002007	D002006
D002007	D000034
D002007	D002418
D002011	D004386
D002011	D004386
D002012	D014076
D002030	D005837
D002030	D005088
D002032	D006963
D002036	D006329
D002037	D006327
D002037	D006327
D002037	D006327
D002044	D012327
D002051	D020031
D002051	D020031
D002051	D016393
D002051	D016393
D002051	D016393
D002054	D009059
D002055	D000073397
D002056	D014947
D002057	D002056
D002058	D002056
D002058	D004556
D002059	D002056
D002060	D008221
D002060	D000825
D002060	D008221
D002061	D007596
D002062	D007592
D002081	D035002
D002095	D011009
D002095	D011009
D002095	D011009
D002100	D004614
D002102	D003643
D002105	D000075322
D002111	D013639
D002114	D002128
D002115	D002114
D002128	D008659
D002137	D020763
D002145	D007642
D002146	D001842
D002169	D016905
D002177	D009181
D002178	D003881
D002178	D002177
D002178	D003881
D002178	D003881
D002179	D003881
D002179	D002177
D002179	D003881
D002179	D003881
D002180	D002177
D002180	D009059
D002181	D002177
D002181	D014848
D002181	D014848
D002189	D019966
D002196	D055806
D002205	D001172
D002205	D001172
D002205	D011009
D002205	D011009
D002205	D001172
D002205	D011009
D002213	D019251
D002239	D008661
D002239	D008661
D002249	D005739
D002252	D011041
D002270	D005667
D002270	D005667
D002270	D005667
D002270	D005667
D002275	D008303
D002275	D008303
D002275	D008303
D002275	D006331
D002276	D018358
D002276	D000230
D002276	D018358
D002277	D009375
D002278	D002277
D002279	D002296
D002279	D002296
D002279	D009374
D002280	D002277
D002280	D018295
D002281	D002277
D002281	D018295
D002282	D000077192
D002282	D000077192
D002283	D001984
D002283	D008175
D002283	D001984
D002284	D009374
D002285	D000230
D002285	D000071960
D002285	D018299
D002286	D002277
D002286	D009374
D002287	D002277
D002287	D009374
D002288	D000230
D002288	D018297
D002289	D002283
D002289	D002283
D002289	D002283
D002291	D002277
D002291	D018307
D002292	D000230
D002292	D007680
D002292	D007680
D002292	D007680
D002292	D007680
D002292	D007680
D002293	D000230
D002294	D002277
D002294	D018307
D002295	D002277
D002296	D018193
D002296	D012509
D002299	D013270
D002303	D006331
D002303	D012816
D002305	D006331
D002310	D009202
D002310	D020751
D002311	D006332
D002311	D009202
D002312	D009202
D002312	D001020
D002313	D009202
D002339	D001158
D002340	D002561
D002340	D002561
D002341	D002340
D002341	D002340
D002341	D002542
D002341	D002542
D002342	D017536
D002343	D017536
D002344	D010234
D002344	D010234
D002344	D010234
D002345	D010236
D002345	D010236
D002346	D002339
D002348	D050276
D002349	D020423
D002349	D009408
D002349	D012090
D002350	D005552
D002356	D009141
D002356	D003238
D002357	D009140
D002357	D003240
D002358	D051457
D002358	D007596
D002371	D000820
D002372	D001474
D002372	D016905
D002372	D008199
D002375	D020820
D002375	D020820
D002385	D009290
D002386	D007905
D002388	D020969
D002389	D019954
D002389	D019954
D002418	D000820
D002420	D013126
D002421	D017072
D002422	D020918
D002422	D020918
D002422	D009437
D002426	D003392
D002429	D007410
D002430	D007414
D002430	D007414
D002430	D007414
D002430	D002429
D002430	D007414
D002432	D007420
D002432	D007420
D002445	D001158
D002446	D008286
D002446	D008286
D002447	D017776
D002447	D017776
D002460	D002478
D002461	D002460
D002462	D022082
D002466	D042581
D002467	D042541
D002467	D015388
D002471	D063646
D002471	D063646
D002472	D002471
D002472	D002471
D002473	D022082
D002474	D013347
D002478	D002477
D002479	D022082
D002481	D012874
D002481	D013492
D002481	D003240
D002481	D013492
D002485	D009808
D002490	D009420
D002493	D009422
D002494	D001423
D002494	D002493
D002502	D018385
D002502	D018385
D002503	D022004
D002523	D012639
D002524	D002526
D002524	D001259
D002524	D001259
D002525	D002531
D002526	D001927
D002527	D013132
D002527	D013132
D002527	D013132
D002527	D013132
D002528	D015192
D002528	D015192
D002528	D002526
D002528	D015192
D002529	D002531
D002530	D002531
D002531	D020540
D002532	D020765
D002532	D000783
D002532	D020765
D002534	D001927
D002535	D013681
D002535	D002552
D002536	D001158
D002537	D020765
D002537	D001161
D002537	D020765
